ID,gender,age,annual_income (*1000$),spending_score (1-100),family_size,family_annual_income,spent_by_categories(1-10),state,job_title
338,Male,36,64,25,6,162,2,South Dakota,Call Center Representative
339,Female,23,86,91,6,133,6,South Carolina,Assistant Buyer
340,Male,34,50,11,4,139,5,Texas,CNC Operator
341,Female,22,103,44,3,108,3,Nevada,Physician
342,Male,59,66,67,3,97,6,New Jersey,Banker
343,Female,61,41,18,5,123,2,Utah,Treasurer
344,Female,40,101,94,2,117,4,California,Software Engineer
345,Male,58,57,37,2,87,9,New Mexico,Machine Operator
346,Male,70,112,86,2,178,1,Georgia,Assistant Buyer
347,Male,22,44,24,2,61,9,Delaware,Lecturer
349,Female,60,80,65,2,104,6,Louisiana,Stockbroker
350,Male,70,70,83,3,77,6,North Carolina,Cashier
351,Female,55,117,76,2,128,8,Pennsylvania,Laboratory Technician
352,Female,37,67,20,3,127,6,New York,Dentist
353,Male,29,82,36,4,60,2,California,Doctor
354,Male,47,69,24,3,178,8,South Dakota,Staffing Consultant
355,Male,29,98,45,5,65,5,New York,Call Center Representative
356,Male,25,122,58,4,59,2,New York,Design Engineer
357,Female,59,47,49,2,181,9,California,CNC Operator
358,Female,75,123,42,2,90,5,Connecticut,Production Painter
359,Female,76,83,51,2,65,6,Texas,Treasurer
360,Male,37,67,34,2,170,1,California,Baker
361,Female,42,53,31,6,136,3,Florida,IT Support Staff
362,Female,22,118,91,4,116,2,Texas,Physician
363,Female,30,62,74,4,101,6,Idaho,Investment  Advisor
364,Male,40,97,73,3,68,7,New York,Budget Analyst
365,Male,21,63,62,5,145,5,New Hampshire,Bookkeeper
366,Female,47,98,34,4,173,2,New York,Systems Administrator
367,Female,57,55,15,6,68,5,Missouri,Assistant Buyer
369,Female,30,111,51,5,147,7,Iowa,Cashier
370,Female,39,71,89,4,82,8,California,Executive Director
371,Female,38,98,29,2,144,5,West Virginia,Doctor
372,Male,47,62,89,5,160,8,New Jersey,Cook
373,Female,25,111,32,4,97,6,California,Call Center Representative
374,Female,65,124,53,5,127,5,New York,Webmaster
375,Female,23,42,12,4,118,1,New Mexico,Doctor
376,Female,27,93,39,2,64,5,Delaware,Treasurer
377,Female,40,128,29,5,74,6,Kentucky,Accountant
378,Female,38,51,54,2,90,1,New Jersey,Auditor
379,Male,26,115,1,4,81,2,Georgia,Ambulatory Nurse
380,Female,29,100,77,6,166,2,Maryland,Design Engineer
381,Female,38,46,6,4,55,1,Oregon,Front Desk Coordinator
382,Male,70,75,77,4,173,5,Ohio,Insurance Broker
383,Male,17,66,75,2,53,6,Pennsylvania,Software Engineer
384,Female,34,68,62,2,176,1,Louisiana,Lecturer
385,Male,23,52,49,4,70,8,Alabama,Baker
387,Male,58,72,12,5,151,5,Maryland,Machine Operator
388,Male,62,71,23,3,174,8,Mississippi,Healthcare Specialist
389,Male,65,128,61,6,188,3,Texas,Ambulatory Nurse
390,Female,61,122,20,2,125,7,North Dakota,Bookkeeper
391,Male,16,49,78,2,127,7,Maryland,Ambulatory Nurse
393,Male,74,72,50,5,67,8,New York,Dentist
395,Female,49,52,1,2,146,6,California,Project Manager
396,Female,77,118,3,3,149,6,Tennessee,Restaurant Manager
397,Female,54,99,53,3,88,2,Idaho,Chef Manager
398,Female,49,63,74,4,175,7,Illinois,Baker
399,Male,62,46,47,6,78,9,Connecticut,Laboratory Technician
400,Male,78,129,35,5,136,8,Tennessee,Systems Administrator
401,Male,22,98,11,5,94,7,California,Staffing Consultant
402,Female,30,59,17,5,189,5,Kansas,Budget Analyst
403,Male,23,76,67,3,182,5,Hawaii,Laboratory Technician
404,Male,22,90,47,4,99,1,Texas,Operator
405,Male,66,85,62,5,104,7,Nebraska,Global Logistics Supervisor
406,Male,57,40,73,4,108,7,Massachusetts,Bookkeeper
407,Female,62,127,54,4,170,6,Maryland,Machine Operator
408,Male,45,68,83,4,130,6,Maryland,CNC Operator
409,Female,60,52,44,5,103,1,Nebraska,CNC Operator
410,Female,23,57,14,6,158,8,Ohio,Doctor
411,Male,76,43,43,5,144,3,Kansas,Investment  Advisor
412,Male,72,128,78,4,60,5,New York,Bookkeeper
413,Male,67,110,65,5,164,3,Utah,CNC Operator
414,Male,55,88,8,3,87,6,Kentucky,Machine Operator
415,Female,70,89,3,3,160,2,New York,Software Engineer
416,Male,35,52,15,2,178,2,New York,Operator
417,Female,23,54,49,3,78,3,Nevada,Production Painter
418,Male,67,109,63,2,181,3,Maryland,IT Support Staff
419,Male,67,86,13,4,109,5,New York,HR Specialist
420,Female,29,119,76,5,181,6,Oregon,Treasurer
421,Female,30,110,41,4,106,5,New York,Fabricator
422,Male,41,124,2,3,137,6,North Dakota,Food Technologist
423,Female,74,120,30,2,83,9,Ohio,Food Technologist
424,Female,28,125,41,3,113,1,Missouri,Machine Operator
425,Male,74,59,81,5,147,3,Alabama,Clerk
426,Female,52,41,2,3,123,4,Florida,Cash Manager
427,Female,50,84,7,6,116,4,New York,Call Center Representative
428,Female,44,68,81,6,164,7,Oregon,Executive Director
429,Male,19,73,89,5,148,2,Hawaii,Fabricator
430,Female,51,112,53,5,98,4,Kansas,Food Technologist
431,Male,64,57,73,4,178,3,Utah,Business Broker
432,Female,34,110,80,3,107,2,Texas,Front Desk Coordinator
433,Male,47,69,74,5,56,6,Louisiana,Web Developer
435,Male,73,112,63,2,165,7,Ohio,Design Engineer
436,Male,67,113,79,6,154,4,New Mexico,Steward
438,Male,48,44,55,5,110,7,New Jersey,Bookkeeper
439,Male,57,77,88,3,133,6,Utah,Executive Director
440,Female,39,86,6,4,54,9,Arizona,Production Painter
441,Male,47,66,30,5,146,7,Virginia,Laboratory Technician
442,Female,60,99,22,2,137,9,California,Designer
443,Female,17,89,19,3,81,9,Connecticut,Dentist
444,Male,42,43,15,3,158,3,Minnesota,Investment  Advisor
445,Male,40,43,29,3,62,7,Texas,Auditor
446,Male,67,44,13,6,127,9,Minnesota,Dentist
447,Male,59,51,43,6,140,6,Georgia,Banker
448,Male,70,113,46,5,100,9,Arizona,Systems Administrator
449,Female,57,46,19,5,149,3,Massachusetts,Healthcare Specialist
450,Male,28,40,75,6,74,2,Tennessee,Audiologist
451,Female,26,69,50,4,74,9,West Virginia,Cook
452,Female,57,66,85,6,59,6,North Carolina,Systems Administrator
453,Female,58,58,20,4,64,8,Oregon,Webmaster
454,Female,35,113,4,5,101,3,Texas,Production Painter
455,Female,60,76,70,2,77,8,New York,Service Supervisor
456,Female,30,115,27,4,160,9,California,Food Technologist
457,Male,75,44,7,3,93,8,Iowa,Designer
458,Female,77,71,29,4,137,3,New York,Pharmacist
459,Female,56,52,56,6,177,5,Michigan,Production Painter
460,Female,25,92,10,2,158,6,New Hampshire,Design Engineer
461,Female,52,128,26,2,136,8,Michigan,Operator
462,Female,41,43,60,3,151,7,New York,Retail Trainee
463,Male,33,99,24,2,135,4,Iowa,Restaurant Manager
464,Male,70,51,22,6,141,6,Nevada,Chef Manager
465,Male,73,102,76,3,57,1,Ohio,Stockbroker
466,Female,21,50,81,6,62,9,Kentucky,Fabricator
467,Male,50,71,17,5,146,3,Alabama,Call Center Representative
468,Female,68,43,91,4,180,6,New York,Paramedic
469,Female,40,79,71,5,180,7,Texas,Doctor
470,Male,74,109,81,6,123,5,Georgia,HR Specialist
471,Female,28,66,18,3,76,9,Utah,Audiologist
472,Male,16,116,5,2,170,1,Tennessee,Mobile Developer
473,Female,73,94,68,6,70,1,Washington,Inspector
474,Female,18,117,17,3,100,1,Iowa,Ambulatory Nurse
475,Male,47,117,16,4,155,1,Kentucky,Operator
476,Female,71,129,15,5,174,6,Tennessee,Cashier
477,Female,64,58,52,5,115,2,New Jersey,Insurance Broker
478,Male,66,57,7,6,120,1,Florida,Cash Manager
479,Male,36,71,78,4,124,1,South Carolina,IT Support Staff
480,Female,43,127,17,3,75,3,Delaware,Webmaster
481,Male,39,128,17,3,139,6,Hawaii,Associate Professor
482,Female,22,66,17,2,162,4,Indiana,Dentist
483,Male,42,56,35,6,102,8,North Dakota,Machine Operator
484,Male,61,125,31,4,147,4,Utah,Staffing Consultant
485,Female,23,80,24,4,145,1,Mississippi,Bellman
486,Male,68,58,37,4,79,2,West Virginia,Cash Manager
487,Male,52,54,47,6,68,2,Texas,Software Engineer
488,Female,27,123,23,3,90,9,Ohio,Treasurer
490,Male,61,121,50,2,93,9,North Carolina,Cash Manager
491,Female,21,48,54,2,136,9,Texas,Fabricator
492,Male,27,111,8,5,160,5,Connecticut,Mobile Developer
493,Male,53,58,32,6,153,3,New York,Doctor
494,Female,75,99,36,5,76,8,Florida,Steward
495,Male,45,76,46,2,102,9,Nebraska,Stockbroker
496,Female,72,78,71,5,181,8,Mississippi,Call Center Representative
497,Male,46,109,18,6,95,5,Indiana,Ambulatory Nurse
498,Male,19,123,18,2,75,2,Maryland,Healthcare Specialist
499,Female,42,90,93,2,115,5,Hawaii,Lecturer
500,Female,21,113,70,6,57,7,Virginia,Budget Analyst
501,Male,47,76,29,3,148,9,Arizona,Global Logistics Supervisor
502,Female,20,84,9,4,179,9,Louisiana,Food Technologist
503,Male,51,114,61,2,165,3,Kansas,Web Developer
504,Female,73,55,50,5,95,9,Arizona,Software Engineer
505,Male,30,54,92,6,87,6,Kentucky,Retail Trainee
